season,week,home,away,spread_close,total_close,ml_home,ml_away,event_id,book,market,selection,line,price,asof_ts,team,player,player_id,sport,odds,captured_at,game_id,side
2006,4,Eagles,Packers,11.5,49.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PACKERS@EAGLES,
2006,4,Falcons,Cardinals,7.5,40.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CARDINALS@FALCONS,
2006,4,Panthers,Saints,7.0,41.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SAINTS@PANTHERS,
2006,4,Raiders,Browns,-1.0,33.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BROWNS@RAIDERS,
2006,4,Rams,Lions,5.0,42.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::LIONS@RAMS,
2006,4,Texans,Dolphins,-3.5,40.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DOLPHINS@TEXANS,
2006,4,Titans,Cowboys,-9.5,37.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COWBOYS@TITANS,
2006,5,10/8 1:00 ET At NY Giants -5.5 Washington 46,Date & Time Favorite Line Underdog Total,10.0,10.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@108_100_ET_AT_NY_GIANTS_55_WASHINGTON_46,
2006,5,49ers,Raiders,3.5,39.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAIDERS@49ERS,
2006,5,Bears,Bills,9.5,34.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BILLS@BEARS,
2006,5,Broncos,Ravens,5.0,33.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAVENS@BRONCOS,
2006,5,Cardinals,Chiefs,-3.5,40.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CHIEFS@CARDINALS,
2006,5,Chargers,Steelers,3.5,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::STEELERS@CHARGERS,
2006,5,Eagles,Cowboys,1.0,43.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COWBOYS@EAGLES,
2006,5,Jaguars,Jets,7.0,38.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::JETS@JAGUARS,
2006,5,Packers,Rams,-2.5,46.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAMS@PACKERS,
2006,5,Panthers,Browns,8.0,38.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BROWNS@PANTHERS,
2006,5,Patriots,Dolphins,9.5,36.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DOLPHINS@PATRIOTS,
2006,5,Saints,Buccaneers,7.0,35.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BUCCANEERS@SAINTS,
2006,6,10/15 1:00 ET At Washington -12 Tennessee 39.5,Date & Time Favorite Line Underdog Total,10.0,10.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@1015_100_ET_AT_WASHINGTON_12_TENNESSEE_395,
2006,6,49ers,Chargers,-10.0,42.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CHARGERS@49ERS,
2006,6,Broncos,Raiders,15.5,37.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAIDERS@BRONCOS,
2006,6,Cardinals,Bears,-12.5,40.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BEARS@CARDINALS,
2006,6,Falcons,Giants,3.0,41.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::GIANTS@FALCONS,
2006,6,Jets,Dolphins,2.5,36.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DOLPHINS@JETS,
2006,6,Lions,Bills,-1.5,40.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BILLS@LIONS,
2006,6,Rams,Seahawks,-3.0,45.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SEAHAWKS@RAMS,
2006,6,Ravens,Panthers,3.0,33.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PANTHERS@RAVENS,
2006,6,Saints,Eagles,-3.0,47.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::EAGLES@SAINTS,
2006,6,Steelers,Chiefs,6.5,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CHIEFS@STEELERS,
2006,7,10/22 1:00 ET Jacksonville -7.5 At Houston 39.5,Date & Time Favorite Line Underdog Total,10.0,10.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@1022_100_ET_JACKSONVILLE_75_AT_HOUSTON_395,
2006,7,Bengals,Panthers,3.0,44.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PANTHERS@BENGALS,
2006,7,Browns,Broncos,-4.5,31.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BRONCOS@BROWNS,
2006,7,Buccaneers,Eagles,-6.5,42.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::EAGLES@BUCCANEERS,
2006,7,Colts,Commanders,8.0,47.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COMMANDERS@COLTS,
2006,7,Cowboys,Giants,3.0,43.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::GIANTS@COWBOYS,
2006,7,Dolphins,Packers,6.0,40.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PACKERS@DOLPHINS,
2006,7,Falcons,Steelers,-3.0,39.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::STEELERS@FALCONS,
2006,7,Jets,Lions,4.0,43.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::LIONS@JETS,
2006,7,Raiders,Cardinals,-3.0,39.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CARDINALS@RAIDERS,
2006,7,Seahawks,Vikings,6.5,40.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::VIKINGS@SEAHAWKS,
2006,8,10/29 1:00 ET At Philadelphia -8 Jacksonville 38.5,Date & Time Favorite Line Underdog Total,10.0,10.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@1029_100_ET_AT_PHILADELPHIA_8_JACKSONVILLE_385,
2006,8,Bears,49ers,16.5,42.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::49ERS@BEARS,
2006,8,Broncos,Colts,3.0,40.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COLTS@BRONCOS,
2006,8,Browns,Jets,2.0,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::JETS@BROWNS,
2006,8,Chargers,Rams,9.5,46.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAMS@CHARGERS,
2006,8,Chiefs,Seahawks,5.5,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SEAHAWKS@CHIEFS,
2006,8,Giants,Buccaneers,9.0,36.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BUCCANEERS@GIANTS,
2006,8,Packers,Cardinals,4.0,45.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CARDINALS@PACKERS,
2006,8,Panthers,Cowboys,4.5,41.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COWBOYS@PANTHERS,
2006,8,Raiders,Steelers,-9.0,38.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::STEELERS@RAIDERS,
2006,8,Saints,Ravens,2.0,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAVENS@SAINTS,
2006,8,Vikings,Patriots,-2.0,40.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PATRIOTS@VIKINGS,
2006,9,11/5 1:00 ET At Baltimore -3 Cincinnati 41.5,Date & Time Favorite Line Underdog Total,11.0,11.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@115_100_ET_AT_BALTIMORE_3_CINCINNATI_415,
2006,9,49ers,Vikings,-4.0,43.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::VIKINGS@49ERS,
2006,9,Bears,Dolphins,13.0,37.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DOLPHINS@BEARS,
2006,9,Bills,Packers,3.5,41.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PACKERS@BILLS,
2006,9,Buccaneers,Saints,1.0,37.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SAINTS@BUCCANEERS,
2006,9,Chargers,Browns,13.0,41.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BROWNS@CHARGERS,
2006,9,Commanders,Cowboys,-3.0,41.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COWBOYS@COMMANDERS,
2006,9,Jaguars,Titans,9.5,37.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::TITANS@JAGUARS,
2006,9,Lions,Falcons,-5.5,47.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::FALCONS@LIONS,
2006,9,Patriots,Colts,3.0,48.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COLTS@PATRIOTS,
2006,9,Seahawks,Raiders,7.0,34.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAIDERS@SEAHAWKS,
2006,9,Steelers,Broncos,3.0,36.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BRONCOS@STEELERS,
2006,10,11/12 1:00 ET At Jacksonville -10 Houston 37,Date & Time Favorite Line Underdog Total,11.0,11.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@1112_100_ET_AT_JACKSONVILLE_10_HOUSTON_37,
2006,10,Cardinals,Cowboys,-6.5,43.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COWBOYS@CARDINALS,
2006,10,Colts,Bills,12.5,44.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BILLS@COLTS,
2006,10,Eagles,Commanders,8.0,41.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COMMANDERS@EAGLES,
2006,10,Falcons,Browns,8.0,42.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BROWNS@FALCONS,
2006,10,Giants,Bears,1.0,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BEARS@GIANTS,
2006,10,Lions,49ers,6.5,46.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::49ERS@LIONS,
2006,10,Panthers,Buccaneers,10.0,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BUCCANEERS@PANTHERS,
2006,10,Patriots,Jets,10.0,38.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::JETS@PATRIOTS,
2006,10,Raiders,Broncos,-9.0,33.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BRONCOS@RAIDERS,
2006,10,Seahawks,Rams,3.0,43.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAMS@SEAHAWKS,
2006,10,Steelers,Saints,6.5,46.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SAINTS@STEELERS,
2006,10,Titans,Ravens,-6.5,38.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAVENS@TITANS,
2006,10,Vikings,Packers,5.0,39.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PACKERS@VIKINGS,
2006,11,11/19 4:15 ET Indianapolis -1.5 At Dallas 50,Date & Time Favorite Line Underdog Total,11.0,11.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@1119_415_ET_INDIANAPOLIS_15_AT_DALLAS_50,
2006,11,49ers,Seahawks,-3.0,43.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SEAHAWKS@49ERS,
2006,11,Broncos,Chargers,3.0,42.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CHARGERS@BRONCOS,
2006,11,Browns,Steelers,-4.5,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::STEELERS@BROWNS,
2006,11,Buccaneers,Commanders,3.0,33.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COMMANDERS@BUCCANEERS,
2006,11,Cardinals,Lions,2.0,46.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::LIONS@CARDINALS,
2006,11,Dolphins,Vikings,3.5,34.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::VIKINGS@DOLPHINS,
2006,11,Eagles,Titans,13.0,44.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::TITANS@EAGLES,
2006,11,Jaguars,Giants,3.5,38.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::GIANTS@JAGUARS,
2006,11,Jets,Bears,-6.0,39.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BEARS@JETS,
2006,11,Packers,Patriots,-6.0,45.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PATRIOTS@PACKERS,
2006,11,Panthers,Rams,6.5,44.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAMS@PANTHERS,
2006,11,Ravens,Falcons,3.5,41.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::FALCONS@RAVENS,
2006,11,Texans,Bills,3.0,36.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BILLS@TEXANS,
2006,12,11/23 4:15 ET At Dallas -12.5 Tampa Bay 38.5,Date & Time Favorite Line Underdog Total,11.0,11.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@1123_415_ET_AT_DALLAS_125_TAMPA_BAY_385,
2006,12,Bills,Jaguars,-3.0,35.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::JAGUARS@BILLS,
